,Evaluacion crediticia historica,Edad,Genero,Evaluacion Sueldo,Residencia,Nivel de ahorro,Monto del credito,Duracion,Proposito,Riesgo
0,4,38 to 75,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
1,2,19 to 28,female,2,own,little,250 to 1554,12 to 24,radio/TV,bad
2,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,education,good
3,2,28 to 38,male,2,free,little,1554 to 3368,12 to 24,furniture/equipment,good
4,3,28 to 38,male,2,free,little,250 to 1554,4 to 12,car,bad
5,2,19 to 28,male,1,free,no account,1554 to 3368,12 to 24,education,good
6,2,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,furniture/equipment,good
7,2,19 to 28,male,3,rent,little,1554 to 3368,12 to 24,car,good
8,2,38 to 75,male,1,own,rich,250 to 1554,4 to 12,radio/TV,good
9,4,19 to 28,male,3,own,little,250 to 1554,12 to 24,car,bad
10,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,bad
11,2,19 to 28,female,2,rent,little,250 to 1554,12 to 24,business,bad
12,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
13,4,38 to 75,male,1,own,little,250 to 1554,4 to 12,car,bad
14,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,good
15,2,19 to 28,female,1,own,moderate,250 to 1554,4 to 12,radio/TV,bad
16,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
17,0,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,business,good
18,2,28 to 38,female,3,free,little,3368 to 18424,4 to 12,car,bad
19,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
20,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,good
21,2,28 to 38,male,2,rent,quite rich,250 to 1554,4 to 12,radio/TV,good
22,4,28 to 38,male,1,rent,little,250 to 1554,4 to 12,car,good
23,4,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,car,good
24,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
25,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
26,0,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
27,1,28 to 38,female,2,rent,rich,250 to 1554,4 to 12,radio/TV,good
28,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
29,3,38 to 75,male,2,own,little,1554 to 3368,24 to 72,business,bad
30,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,business,good
31,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
32,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
33,4,38 to 75,male,1,rent,no account,250 to 1554,4 to 12,business,good
34,2,19 to 28,female,3,own,little,250 to 1554,4 to 12,furniture/equipment,good
35,4,19 to 28,male,1,own,little,250 to 1554,12 to 24,radio/TV,bad
36,4,19 to 28,male,2,free,little,250 to 1554,12 to 24,education,good
37,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
38,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,domestic appliances,good
39,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
40,2,19 to 28,male,3,own,quite rich,250 to 1554,12 to 24,radio/TV,good
41,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
42,3,28 to 38,male,1,own,little,250 to 1554,4 to 12,repairs,good
43,4,19 to 28,male,2,rent,moderate,250 to 1554,12 to 24,car,good
44,4,38 to 75,female,1,free,little,250 to 1554,12 to 24,car,bad
45,4,19 to 28,female,3,own,little,250 to 1554,4 to 12,car,good
46,2,28 to 38,male,2,own,quite rich,250 to 1554,12 to 24,radio/TV,good
47,2,19 to 28,female,0,rent,quite rich,250 to 1554,4 to 12,car,good
48,4,28 to 38,male,1,own,little,1554 to 3368,4 to 12,car,good
49,2,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
50,3,19 to 28,male,1,own,no account,250 to 1554,4 to 12,furniture/equipment,good
51,3,19 to 28,male,3,own,little,250 to 1554,12 to 24,car,good
52,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
53,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,good
54,3,38 to 75,male,2,free,little,250 to 1554,12 to 24,car,bad
55,1,19 to 28,male,1,own,no account,250 to 1554,4 to 12,car,good
56,2,28 to 38,male,3,own,no account,1554 to 3368,4 to 12,radio/TV,bad
57,4,19 to 28,female,2,own,little,1554 to 3368,12 to 24,radio/TV,good
58,2,19 to 28,female,3,own,little,250 to 1554,4 to 12,car,good
59,4,19 to 28,female,1,rent,little,250 to 1554,12 to 24,furniture/equipment,bad
60,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
61,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
62,0,38 to 75,male,3,free,little,250 to 1554,12 to 24,business,bad
63,0,19 to 28,male,2,own,little,3368 to 18424,12 to 24,business,bad
64,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
65,2,28 to 38,male,2,own,no account,250 to 1554,12 to 24,repairs,good
66,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
67,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,car,good
68,2,19 to 28,male,2,free,little,250 to 1554,12 to 24,education,bad
69,2,19 to 28,female,2,own,no account,250 to 1554,12 to 24,radio/TV,good
70,2,19 to 28,female,2,own,little,1554 to 3368,12 to 24,car,good
71,4,28 to 38,male,1,rent,no account,250 to 1554,4 to 12,radio/TV,good
72,4,28 to 38,male,3,free,little,250 to 1554,4 to 12,vacation/others,good
73,4,28 to 38,female,1,own,little,250 to 1554,12 to 24,business,good
74,2,28 to 38,male,3,own,no account,250 to 1554,12 to 24,education,bad
75,4,38 to 75,male,3,free,little,250 to 1554,4 to 12,car,good
76,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,bad
77,3,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
78,0,28 to 38,male,1,own,no account,1554 to 3368,24 to 72,car,good
79,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,good
80,2,28 to 38,female,2,own,no account,250 to 1554,4 to 12,radio/TV,bad
81,2,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
82,2,19 to 28,female,1,rent,moderate,250 to 1554,4 to 12,business,good
83,2,38 to 75,female,1,own,little,250 to 1554,4 to 12,vacation/others,good
84,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
85,4,19 to 28,female,3,own,little,250 to 1554,4 to 12,business,good
86,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
87,2,28 to 38,male,2,free,moderate,3368 to 18424,12 to 24,education,bad
88,2,19 to 28,male,3,own,moderate,250 to 1554,4 to 12,car,good
89,0,19 to 28,male,2,own,little,250 to 1554,4 to 12,repairs,bad
90,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
91,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,good
92,4,19 to 28,female,1,own,no account,250 to 1554,4 to 12,radio/TV,bad
93,4,19 to 28,male,2,rent,no account,250 to 1554,4 to 12,furniture/equipment,good
94,2,28 to 38,male,2,own,rich,250 to 1554,4 to 12,car,good
95,0,38 to 75,male,2,rent,little,3368 to 18424,24 to 72,business,bad
96,4,38 to 75,female,2,own,no account,250 to 1554,4 to 12,education,good
97,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,business,good
98,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
99,3,19 to 28,male,3,rent,no account,1554 to 3368,4 to 12,car,good
100,2,28 to 38,male,1,rent,moderate,250 to 1554,4 to 12,car,good
101,2,19 to 28,male,2,rent,little,250 to 1554,12 to 24,radio/TV,good
102,3,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
103,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
104,2,19 to 28,male,2,rent,no account,250 to 1554,4 to 12,car,good
105,4,28 to 38,male,3,own,little,1554 to 3368,4 to 12,vacation/others,bad
106,1,28 to 38,male,3,own,little,1554 to 3368,4 to 12,car,bad
107,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
108,2,19 to 28,female,2,own,no account,1554 to 3368,4 to 12,furniture/equipment,good
109,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,business,good
110,3,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,business,good
111,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,education,good
112,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,car,good
113,4,19 to 28,female,2,own,little,1554 to 3368,12 to 24,car,bad
114,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
115,4,28 to 38,male,2,own,no account,250 to 1554,12 to 24,radio/TV,good
116,2,19 to 28,female,3,own,no account,1554 to 3368,12 to 24,radio/TV,bad
117,4,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,furniture/equipment,good
118,4,19 to 28,female,2,own,quite rich,250 to 1554,12 to 24,furniture/equipment,bad
119,4,19 to 28,male,3,own,quite rich,250 to 1554,4 to 12,car,good
120,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,bad
121,4,28 to 38,female,3,rent,little,250 to 1554,4 to 12,car,good
122,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
123,4,38 to 75,male,2,free,little,250 to 1554,4 to 12,car,good
124,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,furniture/equipment,bad
125,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
126,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
127,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,repairs,bad
128,4,19 to 28,male,3,own,little,250 to 1554,4 to 12,car,good
129,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,bad
130,2,19 to 28,female,2,own,no account,1554 to 3368,12 to 24,car,good
131,3,19 to 28,male,2,own,little,1554 to 3368,12 to 24,education,bad
132,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
133,2,28 to 38,male,2,free,little,250 to 1554,4 to 12,furniture/equipment,good
134,2,19 to 28,female,2,own,moderate,1554 to 3368,24 to 72,radio/TV,good
135,4,28 to 38,female,2,own,no account,250 to 1554,4 to 12,radio/TV,good
136,3,19 to 28,male,2,own,rich,1554 to 3368,12 to 24,car,good
137,2,38 to 75,male,1,own,quite rich,250 to 1554,4 to 12,radio/TV,bad
138,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
139,2,28 to 38,female,1,rent,little,250 to 1554,4 to 12,radio/TV,good
140,2,19 to 28,male,0,own,rich,250 to 1554,4 to 12,car,good
141,2,19 to 28,female,3,own,little,250 to 1554,12 to 24,radio/TV,good
142,2,19 to 28,male,3,own,little,250 to 1554,12 to 24,radio/TV,good
143,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
144,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
145,1,19 to 28,male,2,own,moderate,250 to 1554,12 to 24,business,good
146,4,28 to 38,female,2,own,little,250 to 1554,4 to 12,car,good
147,4,28 to 38,female,2,own,moderate,250 to 1554,4 to 12,car,good
148,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,good
149,4,28 to 38,male,2,own,rich,250 to 1554,4 to 12,radio/TV,good
150,2,28 to 38,male,2,free,moderate,250 to 1554,4 to 12,radio/TV,good
151,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
152,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
153,4,19 to 28,female,2,rent,rich,1554 to 3368,4 to 12,car,good
154,3,19 to 28,male,3,rent,moderate,1554 to 3368,4 to 12,business,good
155,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
156,4,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,repairs,good
157,1,28 to 38,male,1,own,little,250 to 1554,4 to 12,education,good
158,2,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,car,good
159,4,19 to 28,male,1,own,no account,250 to 1554,4 to 12,radio/TV,good
160,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
161,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
162,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,domestic appliances,good
163,2,38 to 75,male,3,free,little,1554 to 3368,4 to 12,car,good
164,2,19 to 28,male,2,own,quite rich,250 to 1554,12 to 24,car,good
165,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,furniture/equipment,good
166,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
167,2,19 to 28,female,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
168,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
169,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,bad
170,0,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,bad
171,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
172,3,19 to 28,female,3,own,little,250 to 1554,4 to 12,furniture/equipment,bad
173,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
174,3,19 to 28,male,2,own,little,250 to 1554,4 to 12,education,bad
175,1,28 to 38,female,3,own,no account,1554 to 3368,12 to 24,car,bad
176,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
177,4,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
178,2,19 to 28,male,3,rent,little,250 to 1554,4 to 12,radio/TV,good
179,4,38 to 75,male,2,own,little,250 to 1554,4 to 12,car,good
180,3,19 to 28,male,2,own,little,1554 to 3368,12 to 24,business,bad
181,3,19 to 28,male,3,own,little,250 to 1554,12 to 24,business,bad
182,1,28 to 38,male,1,own,no account,250 to 1554,4 to 12,car,bad
183,4,28 to 38,male,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
184,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
185,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
186,1,38 to 75,female,3,free,little,250 to 1554,4 to 12,car,bad
187,4,38 to 75,male,0,free,little,250 to 1554,4 to 12,car,good
